City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,kenai,60.5544,-151.2583,15.08,59,0,6.17,US,1717959019
350,arraial do cabo,-22.9661,-42.0278,25.98,73,0,6.69,BR,1717959019
351,batesville,35.7698,-91.641,28.23,66,75,0.89,US,1717959020
352,lompoc,34.6391,-120.4579,25.94,70,0,6.17,US,1717959020
353,zambezi,-13.5432,23.1047,17.42,38,0,2.82,ZM,1717959020
354,nagqu,31.5,92.0,7.38,63,100,1.98,CN,1717959020
355,guajara mirim,-10.7828,-65.3394,34.09,40,40,2.57,BR,1717959020
356,puerto armuelles,8.2833,-82.8667,29.99,72,100,1.79,PA,1717959021
357,dailekh,28.8333,81.6667,24.79,32,0,3.16,NP,1717959021
358,voru,57.8339,27.0194,9.48,92,5,1.03,EE,1717959021
359,mecca,21.4267,39.8261,34.58,27,0,3.14,SA,1717959021
360,sola,-13.8833,167.55,26.49,76,100,7.15,VU,1717959021
